minimum_nights,calculated_host_listings_count,room_type_Private room,room_type_Shared room,cluster
1,1,False,True,1
1,1,True,False,0
1,2,True,False,0
7,1,False,False,2
2,1,False,False,2
2,1,False,False,2
28,3,False,False,2
6,4,False,False,2
2,4,False,False,2
1,1,False,False,2
2,1,False,False,2
1,2,False,False,2
1,4,False,False,2
1,2,False,False,2
3,1,False,False,2
3,6,False,False,2
3,6,False,False,2
4,1,True,False,0
3,2,True,False,0
2,1,False,False,2
2,2,True,False,0
1,1,True,False,0
1,1,False,False,2
1,2,True,False,0
5,5,False,False,2
1,2,True,False,0
2,3,False,False,2
5,7,False,False,2
5,20,False,False,2
1,3,True,False,0
3,2,False,False,2
3,1,False,False,2
2,2,False,False,2
1,7,True,False,0
1,4,True,False,0
3,20,False,False,2
90,25,False,False,6
1,4,True,False,0
3,7,True,False,0
1,19,True,False,0
1,13,True,False,0
1,13,True,False,0
1,4,False,False,2
1,19,True,False,0
4,9,False,False,2
2,7,False,False,2
3,7,True,False,0
1,2,True,False,0
3,10,False,False,2
3,7,True,False,0
3,7,True,False,0
3,41,False,False,2
3,41,False,False,2
3,41,False,False,2
1,9,False,False,2
1,9,False,False,2
1,22,False,False,2
1,9,False,False,2
1,22,False,False,2
1,9,False,False,2
1,9,False,False,2
1,9,False,False,2
1,9,False,False,2
1,22,False,False,2
1,9,False,False,2
1,9,False,False,2
1,10,False,False,2
2,7,True,False,0
4,5,True,False,0
3,17,True,False,0
2,7,False,False,2
1,41,True,False,0
5,2,False,False,2
5,41,True,False,0
7,41,True,False,0
1,41,True,False,0
1,15,True,False,0
2,10,False,False,2
1,3,False,False,2
4,5,True,False,0
2,10,True,False,0
2,4,True,False,0
2,2,False,False,2
2,10,False,False,2
4,5,True,False,0
1,41,False,False,2
1,41,False,False,2
1,41,False,False,2
2,7,True,False,0
2,4,True,False,0
1,41,False,False,2
1,41,False,False,2
1,41,False,False,2
1,41,False,False,2
1,41,False,False,2
1,41,False,False,2
1,17,False,False,2
2,10,False,False,2
3,5,False,False,2
2,4,True,False,0
2,1,False,False,2
3,20,False,False,2
2,7,True,False,0
1,41,True,False,0
4,5,True,False,0
1,10,False,False,2
1,10,False,False,2
4,5,True,False,0
1,41,True,False,0
2,7,True,False,0
2,10,False,False,2
1,41,True,False,0
1,41,True,False,0
1,7,True,False,0
1,41,True,False,0
1,41,True,False,0
1,41,True,False,0
1,41,True,False,0
